"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NZ_CP079936.1","SAMN20299883","Enterobacter hormaechei",NA,"G17","duck",NA,NA,NA,NA,"China:henan","2021-01-20",NA,NA,2021,"plasmid",NA
"NZ_CP079931.1","SAMN20326334","Acinetobacter baumannii",NA,"17978UN","Homo sapiens",NA,NA,NA,NA,"France","1951",NA,NA,1951,"chromosome",NA
"NZ_CP080011.1","SAMN20342957","Pseudomonas aeruginosa",NA,"TL3773","Homo sapiens",NA,"blood",NA,"Department of Clinical Laboratory, the First Affiliated Hospital of Wenzhou Medical University","China","2018-05-23",NA,"28.01 N 120.65 E",2018,"chromosome",NA
"NZ_CP080012.1","SAMN20342957","Pseudomonas aeruginosa",NA,"TL3773","Homo sapiens",NA,"blood",NA,"Department of Clinical Laboratory, the First Affiliated Hospital of Wenzhou Medical University","China","2018-05-23",NA,"28.01 N 120.65 E",2018,"plasmid",NA
"NZ_CP080123.1","SAMN20348707","Escherichia coli",NA,"PK8217",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2021-03-11",NA,"31.34 N 72.95 E",2021,"plasmid",NA
"NZ_CP080124.1","SAMN20348707","Escherichia coli",NA,"PK8217",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2021-03-11",NA,"31.34 N 72.95 E",2021,"plasmid",NA
"NZ_CP080127.1","SAMN20348874","Escherichia coli",NA,"PK8568",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2021-04-11",NA,"31.41 N 73.11 E",2021,"plasmid",NA
"NZ_CP080128.1","SAMN20348874","Escherichia coli",NA,"PK8568",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2021-04-11",NA,"31.41 N 73.11 E",2021,"plasmid",NA
"NZ_CP080129.1","SAMN20348874","Escherichia coli",NA,"PK8568",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2021-04-11",NA,"31.41 N 73.11 E",2021,"plasmid",NA
"NZ_CP080134.1","SAMN20349091","Escherichia coli",NA,"PK8277",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-10-20",NA,"31.44 N 73.07 E",2020,"plasmid",NA
"NZ_CP080137.1","SAMN20349091","Escherichia coli",NA,"PK8277",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-10-20",NA,"31.44 N 73.07 E",2020,"plasmid",NA
"NZ_CP080139.1","SAMN20353352","Escherichia coli",NA,"PK8241",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-05-11",NA,"31.50 N 72.97 E",2020,"chromosome",NA
"NZ_CP080151.1","SAMN20353404","Escherichia coli",NA,"PK8276",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-10-20",NA,"31.44 N 73.07 E",2020,"plasmid",NA
"NZ_CP080156.1","SAMN20353475","Escherichia coli",NA,"PK8261",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-05-11",NA,"31.50 N 73.02 E",2020,"plasmid",NA
"NZ_CP080158.1","SAMN20353475","Escherichia coli",NA,"PK8261",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-05-11",NA,"31.50 N 73.02 E",2020,"plasmid",NA
"NZ_CP080164.1","SAMN20353479","Escherichia coli",NA,"PK8275",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-05-11",NA,"31.50 N 73.02 E",2020,"plasmid",NA
"NZ_CP080166.1","SAMN20353479","Escherichia coli",NA,"PK8275",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-05-11",NA,"31.50 N 73.02 E",2020,"plasmid",NA
"NZ_CP080175.1","SAMN20353536","Escherichia coli",NA,"PK8566",NA,NA,"chicken",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2020-04-11",NA,"31.40 N 73.13 E",2020,"plasmid",NA
"NZ_CP080253.1","SAMN20359862","Escherichia coli",NA,"PC6",NA,NA,"pig fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"chromosome",NA
"NZ_CP080256.1","SAMN20360179","Escherichia coli",NA,"SJC33",NA,NA,"Chicken fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"plasmid",NA
"NZ_CP080258.1","SAMN20360179","Escherichia coli",NA,"SJC33",NA,NA,"Chicken fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"plasmid",NA
"NZ_CP080259.1","SAMN20360179","Escherichia coli",NA,"SJC33",NA,NA,"Chicken fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"plasmid",NA
"NZ_CP080262.1","SAMN20360180","Escherichia coli",NA,"135",NA,NA,"Chicken fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"plasmid",NA
"NZ_CP080264.1","SAMN20360180","Escherichia coli",NA,"135",NA,NA,"Chicken fecal",NA,"Sun-Yinhuan","China:Guangdong province","2017",NA,"not collected",2017,"plasmid",NA
"NZ_CP081897.1","SAMN20362511","Klebsiella pneumoniae",NA,"MN-03","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2014-05-08",NA,NA,2014,"chromosome",NA
"NZ_CP081896.1","SAMN20362512","Klebsiella pneumoniae",NA,"PA-01","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2015-06-08",NA,NA,2015,"chromosome",NA
"NZ_CP081894.1","SAMN20362514","Klebsiella pneumoniae",NA,"NC-01","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2015-08-03",NA,NA,2015,"chromosome",NA
"NZ_CP081892.1","SAMN20362516","Klebsiella pneumoniae",NA,"NY-06","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2016-10-16",NA,NA,2016,"chromosome",NA
"NZ_CP081891.1","SAMN20362517","Klebsiella pneumoniae",NA,"CT-04","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2017-06-26",NA,NA,2017,"chromosome",NA
"NZ_CP081890.1","SAMN20362518","Klebsiella pneumoniae",NA,"IA-021","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2015-07-10",NA,NA,2015,"chromosome",NA
"NZ_CP081889.1","SAMN20362519","Klebsiella pneumoniae",NA,"IA-044","Bovine",NA,"Mastitis-milk",NA,NA,"USA","2015-08-23",NA,NA,2015,"chromosome",NA
"NZ_CP080288.1","SAMN20362534","Pseudomonas aeruginosa",NA,"UNC_PaerCF05","Homo sapiens",NA,"sputum",NA,NA,"USA: Chapel Hill, North Carolina","2018-04-19",NA,NA,2018,"chromosome",NA
"NZ_CP080286.1","SAMN20362536","Pseudomonas aeruginosa",NA,"UNC_PaerCF12","Homo sapiens",NA,"sputum",NA,NA,"USA: Chapel Hill, North Carolina","2018-11-08",NA,NA,2018,"chromosome",NA
"NZ_CP080285.1","SAMN20362537","Pseudomonas aeruginosa",NA,"UNC_PaerCF14","Homo sapiens",NA,"sputum",NA,NA,"USA: Chapel Hill, North Carolina","2018-11-15",NA,NA,2018,"chromosome",NA
"NZ_CP080281.1","SAMN20362539","Pseudomonas aeruginosa",NA,"UNC_PaerCF17","Homo sapiens",NA,"sputum",NA,NA,"USA: Chapel Hill, North Carolina","2012-08-02",NA,NA,2012,"chromosome",NA
"NZ_CP080280.1","SAMN20362540","Pseudomonas aeruginosa",NA,"UNC_PaerCF20","Homo sapiens",NA,"sputum",NA,NA,"USA: Chapel Hill, North Carolina","2011-09-23",NA,NA,2011,"chromosome",NA
"NZ_CP080309.1","SAMN20373013","Klebsiella pneumoniae",NA,"KP-426","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"chromosome",NA
"NZ_CP080311.1","SAMN20373013","Klebsiella pneumoniae",NA,"KP-426","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"plasmid",NA
"NZ_CP080297.1","SAMN20373014","Klebsiella pneumoniae",NA,"KP-C76","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"chromosome",NA
"NZ_CP080299.1","SAMN20373014","Klebsiella pneumoniae",NA,"KP-C76","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"plasmid",NA
"NZ_CP080303.1","SAMN20375149","Klebsiella pneumoniae",NA,"KP-CT77","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"chromosome",NA
"NZ_CP080305.1","SAMN20375149","Klebsiella pneumoniae",NA,"KP-CT77","Homo sapiens",NA,NA,NA,NA,"China:Hangzhou","2020",NA,NA,2020,"plasmid",NA
"NZ_CP080646.1","SAMN20391559","Escherichia coli",NA,"31HGR-CBG","Homo sapiens",NA,"urine",NA,"Laboratorio Interaccion Ambiente-Microorganismo","Mexico","2018",NA,"26.05 N 98.18 W",2018,"plasmid",NA
"NZ_CP080346.1","SAMN20422816","Klebsiella pneumoniae",NA,"K191659","Homo sapiens",NA,"sputum",NA,NA,"China:wuxi","2019-10-24",NA,NA,2019,"chromosome",NA
"NZ_CP080353.1","SAMN20422817","Klebsiella pneumoniae",NA,"K191663","Homo sapiens",NA,"blood",NA,NA,"China:wuxi","2019-11-07",NA,NA,2019,"chromosome",NA
"NZ_CP080359.1","SAMN20422817","Klebsiella pneumoniae",NA,"K191663","Homo sapiens",NA,"blood",NA,NA,"China:wuxi","2019-11-07",NA,NA,2019,"plasmid",NA
"NZ_CP080360.1","SAMN20422817","Klebsiella pneumoniae",NA,"K191663","Homo sapiens",NA,"blood",NA,NA,"China:wuxi","2019-11-07",NA,NA,2019,"plasmid",NA
"NZ_CP080362.1","SAMN20422820","Klebsiella pneumoniae",NA,"K191773","Homo sapiens",NA,"sputum",NA,NA,"China:wuxi","2019-12-03",NA,NA,2019,"chromosome",NA
"NZ_CP080365.1","SAMN20422820","Klebsiella pneumoniae",NA,"K191773","Homo sapiens",NA,"sputum",NA,NA,"China:wuxi","2019-12-03",NA,NA,2019,"plasmid",NA
"NZ_CP080366.1","SAMN20422820","Klebsiella pneumoniae",NA,"K191773","Homo sapiens",NA,"sputum",NA,NA,"China:wuxi","2019-12-03",NA,NA,2019,"plasmid",NA
"NZ_CP080367.1","SAMN20422820","Klebsiella pneumoniae",NA,"K191773","Homo sapiens",NA,"sputum",NA,NA,"China:wuxi","2019-12-03",NA,NA,2019,"plasmid",NA
"NZ_CP080445.1","SAMN20424378","Klebsiella pneumoniae",NA,"1678","Homo sapiens",NA,NA,NA,NA,"China","2021-07-27",NA,NA,2021,"chromosome",NA
"NZ_CP080446.1","SAMN20424378","Klebsiella pneumoniae",NA,"1678","Homo sapiens",NA,NA,NA,NA,"China","2021-07-27",NA,NA,2021,"plasmid",NA
"NZ_CP080447.1","SAMN20424378","Klebsiella pneumoniae",NA,"1678","Homo sapiens",NA,NA,NA,NA,"China","2021-07-27",NA,NA,2021,"plasmid",NA
"NZ_CP080448.1","SAMN20424378","Klebsiella pneumoniae",NA,"1678","Homo sapiens",NA,NA,NA,NA,"China","2021-07-27",NA,NA,2021,"plasmid",NA
"NZ_CP080369.1","SAMN20425746","Pseudomonas aeruginosa SG17M",NA,"SG17M",NA,NA,"riverside",NA,NA,"Germany: Mulheim","1990",NA,NA,1990,"chromosome",NA
"NZ_CP080370.1","SAMN20445367","Escherichia coli",NA,"PK5086","Homo sapiens",NA,"missing",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2019-12-23",NA,"31.45 N 73.08 E",2019,"chromosome",NA
"NZ_CP080371.1","SAMN20445367","Escherichia coli",NA,"PK5086","Homo sapiens",NA,"missing",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2019-12-23",NA,"31.45 N 73.08 E",2019,"plasmid",NA
"NZ_CP080372.1","SAMN20445367","Escherichia coli",NA,"PK5086","Homo sapiens",NA,"missing",NA,"Mashkoor Mohsin","Pakistan: Faisalabad","2019-12-23",NA,"31.45 N 73.08 E",2019,"plasmid",NA
"NZ_JAIELB010000002.1","SAMN20474177","Escherichia coli",NA,"CREC01","Homo sapiens",NA,"cerebrospinal fluid from patient with post-craniotomy meningitis","intensive care unit",NA,"China:Hangzhou","2019-10-17",NA,"30 N 120 E",2019,"plasmid",NA
"NZ_JAIELB010000004.1","SAMN20474177","Escherichia coli",NA,"CREC01","Homo sapiens",NA,"cerebrospinal fluid from patient with post-craniotomy meningitis","intensive care unit",NA,"China:Hangzhou","2019-10-17",NA,"30 N 120 E",2019,"plasmid",NA
"NZ_CP084290.1","SAMN20477956","Citrobacter werkmanii",NA,"LHC5-1",NA,NA,"a feces sample of chicken origin",NA,"College of Veterinary Medicine, Yangzhou University","China: Nantong, jiangsu province","2020-05",NA,"32.39 N 120.56 E",2020,"chromosome",NA
"NZ_CP084295.1","SAMN20477956","Citrobacter werkmanii",NA,"LHC5-1",NA,NA,"a feces sample of chicken origin",NA,"College of Veterinary Medicine, Yangzhou University","China: Nantong, jiangsu province","2020-05",NA,"32.39 N 120.56 E",2020,"plasmid",NA
"NZ_CP084297.1","SAMN20477964","Acinetobacter baumannii",NA,"LHC22-2",NA,NA,"a feces sample of chicken origin",NA,"College of Veterinary Medicine, Yangzhou University","China: Nantong, jiangsu province","2020-05",NA,"32.39 N 120.56 E",2020,"chromosome",NA
"NZ_CP084298.1","SAMN20477964","Acinetobacter baumannii",NA,"LHC22-2",NA,NA,"a feces sample of chicken origin",NA,"College of Veterinary Medicine, Yangzhou University","China: Nantong, jiangsu province","2020-05",NA,"32.39 N 120.56 E",2020,"plasmid",NA
"NZ_CP080471.1","SAMN20500401","Enterobacter hormaechei",NA,"ECC59","Homo sapiens",NA,"Broncho-alveolar lavage",NA,"Shenzhen People's Hospital","China: Guangdong","2017",NA,"22.38 N 114.05 E",2017,"plasmid",NA
"NZ_CP080473.1","SAMN20500401","Enterobacter hormaechei",NA,"ECC59","Homo sapiens",NA,"Broncho-alveolar lavage",NA,"Shenzhen People's Hospital","China: Guangdong","2017",NA,"22.38 N 114.05 E",2017,"plasmid",NA
"NZ_CP080513.1","SAMN20518183","Salmonella enterica subsp. enterica serovar Minnesota",NA,"SA18578",NA,NA,"food",NA,"Sulaiman Alajel","Saudi Arabia","2020-07",NA,"24.774265 N 46.738586 E",2020,"chromosome",NA
"NZ_CP080514.1","SAMN20518183","Salmonella enterica subsp. enterica serovar Minnesota",NA,"SA18578",NA,NA,"food",NA,"Sulaiman Alajel","Saudi Arabia","2020-07",NA,"24.774265 N 46.738586 E",2020,"plasmid",NA
"NZ_CP080511.1","SAMN20519545","Pseudomonas aeruginosa",NA,"DJ06","sugarcane",NA,NA,NA,"Daojun guo","China: Naning","2020-10-05",NA,"not collected",2020,"chromosome",NA
"NZ_JAIEUG010000002.1","SAMN20587854","Enterobacter hormaechei",NA,"ECC30","Homo sapiens",NA,"Catheter",NA,"Yang Ji","China: Shenzhen","2013",NA,"22.38 N 114.05 E",2013,"plasmid",NA
"NZ_JAIEUG010000004.1","SAMN20587854","Enterobacter hormaechei",NA,"ECC30","Homo sapiens",NA,"Catheter",NA,"Yang Ji","China: Shenzhen","2013",NA,"22.38 N 114.05 E",2013,"plasmid",NA
"NZ_JAIEUF010000002.1","SAMN20587855","Enterobacter hormaechei",NA,"ECC45","Homo sapiens",NA,"Catheter",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUF010000003.1","SAMN20587855","Enterobacter hormaechei",NA,"ECC45","Homo sapiens",NA,"Catheter",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUF010000004.1","SAMN20587855","Enterobacter hormaechei",NA,"ECC45","Homo sapiens",NA,"Catheter",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUE010000002.1","SAMN20587856","Enterobacter hormaechei",NA,"ECC46","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUE010000003.1","SAMN20587856","Enterobacter hormaechei",NA,"ECC46","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUE010000004.1","SAMN20587856","Enterobacter hormaechei",NA,"ECC46","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2015",NA,"22.38 N 114.05 E",2015,"plasmid",NA
"NZ_JAIEUD010000002.1","SAMN20587857","Enterobacter hormaechei",NA,"ECC47","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUD010000003.1","SAMN20587857","Enterobacter hormaechei",NA,"ECC47","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUD010000004.1","SAMN20587857","Enterobacter hormaechei",NA,"ECC47","Homo sapiens",NA,"urine",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUC010000002.1","SAMN20587858","Enterobacter hormaechei",NA,"ECC48","Homo sapiens",NA,"abdominal fluid",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUC010000003.1","SAMN20587858","Enterobacter hormaechei",NA,"ECC48","Homo sapiens",NA,"abdominal fluid",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUC010000004.1","SAMN20587858","Enterobacter hormaechei",NA,"ECC48","Homo sapiens",NA,"abdominal fluid",NA,"Yang Ji","China: Shenzhen","2016",NA,"22.38 N 114.05 E",2016,"plasmid",NA
"NZ_JAIEUB010000002.1","SAMN20587859","Enterobacter hormaechei",NA,"ECC116","Homo sapiens",NA,"Broncho-alveolar lavage",NA,"Yang Ji","China: Shenzhen","2014",NA,"22.38 N 114.05 E",2014,"plasmid",NA
"NZ_JAIEUB010000004.1","SAMN20587859","Enterobacter hormaechei",NA,"ECC116","Homo sapiens",NA,"Broncho-alveolar lavage",NA,"Yang Ji","China: Shenzhen","2014",NA,"22.38 N 114.05 E",2014,"plasmid",NA
"NZ_CP080633.1","SAMN20607798","Shewanella putrefaciens",NA,"YZ08","Bigeye tuna",NA,NA,NA,NA,"China:Shanghai","2021-01-18",NA,NA,2021,"chromosome",NA
"NZ_CP080635.1","SAMN20608154","Shewanella putrefaciens",NA,"YZ-J","Bigeye tuna",NA,NA,NA,NA,"China:Shanghai","2021-01-23",NA,NA,2021,"chromosome",NA
"NZ_CP081187.1","SAMN20692191","Salmonella enterica",NA,"sg1722-1","Homo sapiens",NA,"Child feces",NA,NA,"China: zhejiang","2021-05-01",NA,NA,2021,"chromosome",NA
"NZ_CP081287.1","SAMN20692924","Pseudomonas aeruginosa",NA,"F092021","Homo sapiens",NA,NA,NA,NA,"China:Henan","2019",NA,NA,2019,"chromosome",NA
"NZ_CP081289.1","SAMN20692924","Pseudomonas aeruginosa",NA,"F092021","Homo sapiens",NA,NA,NA,NA,"China:Henan","2019",NA,NA,2019,"plasmid",NA
"NZ_CP081189.1","SAMN20693596","Salmonella enterica",NA,"sg1722-2","Homo sapiens",NA,"Child feces",NA,NA,"China: zhejiang","2021-05-15",NA,NA,2021,"chromosome",NA
"NZ_CP081191.1","SAMN20693596","Salmonella enterica",NA,"sg1722-2","Homo sapiens",NA,"Child feces",NA,NA,"China: zhejiang","2021-05-15",NA,NA,2021,"plasmid",NA
"NZ_CP081192.1","SAMN20693749","Escherichia coli",NA,"EC1722-1","Homo sapiens",NA,"Child feces",NA,NA,"China:zhejiang","2021-05-15",NA,NA,2021,"chromosome",NA
"NZ_CP081195.1","SAMN20693749","Escherichia coli",NA,"EC1722-1","Homo sapiens",NA,"Child feces",NA,NA,"China:zhejiang","2021-05-15",NA,NA,2021,"plasmid",NA
"NZ_CP081202.1","SAMN20702951","Pseudomonas aeruginosa",NA,"P9W","Severely burned patient",NA,"burn wound",NA,NA,"China:Tianjin,Affiliated Hospital of Nankai University","2018-03-10",NA,NA,2018,"chromosome",NA
"NZ_CP081203.1","SAMN20702951","Pseudomonas aeruginosa",NA,"P9W","Severely burned patient",NA,"burn wound",NA,NA,"China:Tianjin,Affiliated Hospital of Nankai University","2018-03-10",NA,NA,2018,"plasmid",NA
"NZ_CP081477.1","SAMN20703519","Pseudomonas aeruginosa",NA,"P8W","Homo sapiens",NA,"burn wound",NA,NA,"China:Tianjin,Affiliated Hospital of Nankai University","2018-03-10",NA,NA,2018,"chromosome",NA
"NZ_CP081306.1","SAMN20802105","Escherichia coli",NA,"Ec1079","Homo sapiens",NA,"urine",NA,"Tamale teaching hospital","Ghana","2015",NA,"9.3930 N 0.8235 W",2015,"chromosome",NA
"NZ_CP081307.1","SAMN20802105","Escherichia coli",NA,"Ec1079","Homo sapiens",NA,"urine",NA,"Tamale teaching hospital","Ghana","2015",NA,"9.3930 N 0.8235 W",2015,"plasmid",NA
"NZ_CP081309.1","SAMN20802105","Escherichia coli",NA,"Ec1079","Homo sapiens",NA,"urine",NA,"Tamale teaching hospital","Ghana","2015",NA,"9.3930 N 0.8235 W",2015,"plasmid",NA
"NZ_CP081345.1","SAMN20821254","Pseudomonas aeruginosa",NA,"F291007","Homo sapiens",NA,NA,NA,NA,"China:Henan","2019",NA,NA,2019,"chromosome",NA
"NZ_CP081346.1","SAMN20822586","Pseudomonas aeruginosa",NA,"SE5419","Homo sapiens",NA,NA,NA,NA,"China:Jiangsu","2013",NA,NA,2013,"chromosome",NA
"NZ_CP081349.1","SAMN20822586","Pseudomonas aeruginosa",NA,"SE5419","Homo sapiens",NA,NA,NA,NA,"China:Jiangsu","2013",NA,NA,2013,"plasmid",NA
"NZ_CP081480.1","SAMN20837287","Campylobacter jejuni",NA,"NCTC12658",NA,NA,"Unknown",NA,NA,"United Kingdom","Unknown",NA,NA,NA,"chromosome",NA
"NZ_CP081814.1","SAMN20855216","Shigella flexneri",NA,"WW1",NA,NA,"sludge from the aeration tanks of urban wastewater treatment plants",NA,NA,"China:shanghai","2020-10-04",NA,NA,2020,"plasmid",NA
"NZ_CP081881.1","SAMN20855217","Escherichia coli",NA,"WW2",NA,NA,"sludge from the aeration tanks of urban wastewater treatment plants",NA,NA,"China:shanghai","2020-10-04",NA,NA,2020,"chromosome",NA
"NZ_CP081887.1","SAMN20855217","Escherichia coli",NA,"WW2",NA,NA,"sludge from the aeration tanks of urban wastewater treatment plants",NA,NA,"China:shanghai","2020-10-04",NA,NA,2020,"plasmid",NA
"NZ_CP081820.1","SAMN20855505","Klebsiella pneumoniae",NA,"F726925","Homo sapiens",NA,NA,NA,NA,"China: Jiangsu","2015",NA,NA,2015,"chromosome",NA
"NZ_CP081821.1","SAMN20855505","Klebsiella pneumoniae",NA,"F726925","Homo sapiens",NA,NA,NA,NA,"China: Jiangsu","2015",NA,NA,2015,"plasmid",NA
"NZ_CP081939.1","SAMN20856460","Avibacterium paragallinarum",NA,"p4chr1","Gallus gallus (chicken)",NA,NA,NA,NA,"China:Hebei","2021-02-07",NA,NA,2021,"chromosome",NA
"NZ_CP082121.1","SAMN20857175","Escherichia coli",NA,"PC-NDM34","Homo sapiens",NA,"rectal swab from HIV infected patient",NA,"Joel Manyahi","Tanzania:Dar es Salaam","2018-02-20",NA,"6.7924 S 39.2083 E",2018,"plasmid",NA
"NZ_CP082123.1","SAMN20857175","Escherichia coli",NA,"PC-NDM34","Homo sapiens",NA,"rectal swab from HIV infected patient",NA,"Joel Manyahi","Tanzania:Dar es Salaam","2018-02-20",NA,"6.7924 S 39.2083 E",2018,"plasmid",NA
"NZ_CP082128.1","SAMN20857176","Escherichia coli",NA,"NDM_12_14482","Homo sapiens",NA,"rectal swab from neonate",NA,"Joel Manyahi","Tanzania:Dar es Salaam","2018-02-18",NA,"6.7924 S 39.2083 E",2018,"plasmid",NA
"NZ_CP082130.1","SAMN20857180","Escherichia coli",NA,"NDM_11.16372","Homo sapiens",NA,"rectal swab from HIV infected patient",NA,"Joel Manyahi","Tanzania:Dar es Salaam","2018-02-03",NA,"6.7924 S 39.2083 E",2018,"plasmid",NA
"NZ_CP082881.1","SAMN20888882","Campylobacter coli",NA,"FDAARGOS_1465","missing",NA,"missing",NA,"missing","Germany: Braunschweig","Unknown",NA,"Not applicable",NA,"chromosome",NA
"NZ_CP082001.1","SAMN20928629","Klebsiella pneumoniae",NA,"KP18-1","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-07",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082003.1","SAMN20928629","Klebsiella pneumoniae",NA,"KP18-1","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-07",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082004.1","SAMN20928630","Klebsiella pneumoniae",NA,"KP18-8","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-11",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082005.1","SAMN20928630","Klebsiella pneumoniae",NA,"KP18-8","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-11",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082010.1","SAMN20928631","Klebsiella pneumoniae",NA,"KP18-41","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-21",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082012.1","SAMN20928631","Klebsiella pneumoniae",NA,"KP18-41","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-06-21",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082014.1","SAMN20928632","Klebsiella pneumoniae",NA,"KP18-238","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-10-04",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082015.1","SAMN20928632","Klebsiella pneumoniae",NA,"KP18-238","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-10-04",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082019.1","SAMN20928633","Klebsiella pneumoniae",NA,"KP18-2050","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-13",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082020.1","SAMN20928633","Klebsiella pneumoniae",NA,"KP18-2050","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-13",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082021.1","SAMN20928633","Klebsiella pneumoniae",NA,"KP18-2050","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-13",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082024.1","SAMN20928635","Klebsiella pneumoniae",NA,"KP18-2073","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-15",NA,"34.73 N 113.70 E",2018,"chromosome",NA
"NZ_CP082025.1","SAMN20928635","Klebsiella pneumoniae",NA,"KP18-2073","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-15",NA,"34.73 N 113.70 E",2018,"plasmid",NA
"NZ_CP082026.1","SAMN20928635","Klebsiella pneumoniae",NA,"KP18-2073","Homo sapiens",NA,"blood",NA,"Zhengzhou University","China","2018-11-15",NA,"34.73 N 113.70 E",2018,"plasmid",NA
